max_tmp,min_tmp,range,hum,wind,label
0.3,-6.5,6.8,64.4,2.6,1
3.8,-0.7,4.5,65.4,4.0,1
4.6,-3.4,8.0,56.9,3.5,1
6.1,-2.8,8.899999999999999,50.8,4.5,1
6.6,-3.2,9.8,45.6,2.9,1
4.6,0.6,3.9999999999999996,62.400000000000006,5.4,1
7.7,4.2,3.5,92.0,6.3,3
8.9,-0.4,9.3,83.1,6.3,3
2.0,-3.1,5.1,65.3,4.3,1
4.2,-4.3,8.5,62.9,3.7,1
3.9,-2.6,6.5,60.9,4.8,1
2.8,-3.5,6.3,61.5,4.1,1
0.2,-4.7,4.9,51.0,4.9,1
2.6,-5.7,8.3,45.3,3.3,1
2.2,-6.4,8.600000000000001,44.8,4.5,1
3.2,-5.5,8.7,43.0,4.4,1
4.9,-4.8,9.7,43.9,3.8,1
5.9,-4.1,10.0,48.1,4.2,9
5.3,-0.4,5.7,59.8,6.1,1
5.5,-3.3,8.8,43.8,5.7,1
5.5,-5.6,11.1,36.9,3.5,9
7.8,-0.1,7.8999999999999995,36.0,3.2,2
9.9,0.0,9.9,49.3,4.7,3
7.4,-1.3,8.700000000000001,63.0,3.7,2
8.8,0.6,8.200000000000001,63.1,3.9,2
11.9,-0.2,12.1,53.3,6.1,9
7.5,4.8,2.7,45.1,7.0,2
9.9,4.3,5.6000000000000005,46.4,5.4,3
9.6,3.2,6.3999999999999995,46.4,3.6,3
10.4,1.4,9.0,47.0,3.0,3
8.9,1.4,7.5,59.6,4.4,2
7.6,-1.2,8.799999999999999,66.6,4.7,2
5.3,-2.1,7.4,52.3,4.7,1
3.0,-2.9,5.9,40.6,5.7,1
3.9,-6.0,9.9,47.3,6.2,1
-4.9,-11.0,6.1,34.3,5.5,1
0.4,-11.8,12.200000000000001,36.4,4.0,9
2.2,-7.2,9.4,45.1,3.5,1
3.7,-2.3,6.0,45.1,5.3,1
4.1,-5.6,9.7,51.1,4.4,1
9.6,-0.7,10.299999999999999,49.4,4.2,9
14.6,-0.5,15.1,37.0,3.6,9
8.2,6.5,1.6999999999999993,73.4,5.0,2
8.7,4.9,3.799999999999999,84.8,3.2,3
14.7,3.2,11.5,70.3,3.0,9
15.6,6.2,9.399999999999999,63.0,5.0,5
7.7,-4.3,12.0,78.1,6.6,9
-3.9,-7.1,3.1999999999999997,61.3,5.6,1
1.3,-8.3,9.600000000000001,44.0,4.1,1
6.4,-4.4,10.8,56.8,3.2,9
10.8,-0.6,11.4,62.6,3.3,9
10.9,2.1,8.8,63.3,5.3,3
7.9,0.0,7.9,59.0,8.2,2
8.0,-2.5,10.5,48.6,4.2,9
12.2,0.8,11.399999999999999,51.8,3.4,9
9.4,4.7,4.7,70.5,6.8,3
10.4,2.8,7.6000000000000005,59.6,4.0,3
12.5,1.3,11.2,54.0,4.4,9
5.9,3.6,2.3000000000000003,79.4,4.2,2
13.0,4.5,8.5,68.6,4.2,4
10.1,3.2,6.8999999999999995,71.8,4.7,3
7.6,0.0,7.6,55.3,4.9,2
10.5,0.3,10.2,57.0,4.7,9
4.6,-1.3,5.8999999999999995,50.4,6.8,1
6.3,-2.8,9.1,47.5,4.1,1
10.1,-2.5,12.6,46.8,3.6,9
14.2,1.3,12.899999999999999,39.5,4.1,9
16.9,2.3,14.599999999999998,43.8,4.6,9
17.6,4.8,12.8,37.6,4.5,9
10.8,3.2,7.6000000000000005,75.4,5.3,4
8.3,0.0,8.3,38.8,5.5,2
13.3,0.2,13.100000000000001,46.8,5.4,9
8.7,-0.1,8.799999999999999,38.0,5.4,2
8.6,-2.7,11.3,45.1,6.8,9
8.5,0.2,8.3,45.3,7.8,2
9.1,-2.1,11.2,39.4,5.2,9
12.3,3.1,9.200000000000001,62.8,5.2,4
17.0,2.7,14.3,45.8,4.4,9
12.1,5.8,6.3,46.0,8.2,4
14.0,3.1,10.9,36.6,6.6,9
19.5,7.9,11.6,53.5,5.1,9
16.5,6.1,10.4,34.5,5.6,9
17.0,5.4,11.6,37.9,4.8,9
17.9,5.3,12.599999999999998,35.0,4.0,9
19.2,6.1,13.1,30.6,5.3,9
20.6,8.1,12.500000000000002,50.8,5.3,9
15.8,6.7,9.100000000000001,53.4,5.8,5
12.8,4.5,8.3,14.899999999999999,5.5,4
16.1,1.3,14.8,30.6,4.6,9
16.9,4.3,12.599999999999998,38.4,4.1,9
18.6,4.7,13.900000000000002,34.5,4.4,9
17.4,6.0,11.399999999999999,32.6,7.3,9
15.5,3.4,12.1,38.4,5.5,9
16.3,5.3,11.0,50.8,5.7,9
13.3,5.0,8.3,33.4,6.3,4
13.7,1.9,11.799999999999999,26.5,5.4,9
16.1,2.9,13.200000000000001,35.3,5.9,9
16.8,6.0,10.8,53.6,5.1,9
14.2,5.2,9.0,22.5,5.9,4
14.7,4.3,10.399999999999999,41.6,5.7,9
16.8,5.8,11.0,52.6,4.1,9
16.0,6.2,9.8,63.8,4.9,5
15.6,4.4,11.2,55.6,7.4,9
20.4,4.3,16.099999999999998,36.4,5.5,9
19.6,7.6,12.000000000000002,43.8,5.3,9
20.2,7.2,13.0,36.8,5.6,9
23.8,8.9,14.9,39.9,4.5,9
15.4,10.4,5.0,77.8,4.8,6
19.6,8.5,11.100000000000001,67.9,4.8,9
15.5,9.5,6.0,72.8,5.2,5
13.1,7.6,5.5,70.0,6.8,4
10.4,4.8,5.6000000000000005,46.0,8.9,3
8.3,4.1,4.200000000000001,43.8,6.4,2
12.8,2.9,9.9,44.8,7.9,4
14.3,4.1,10.200000000000001,52.6,8.2,9
17.1,9.9,7.200000000000001,51.4,7.8,5
19.0,6.8,12.2,40.1,6.5,9
18.3,8.7,9.600000000000001,46.8,5.5,5
19.9,7.8,12.099999999999998,47.0,5.5,9
